_id,descripcion,link,nombre,precio,puntuacion,serv_hab,tipo_hab,ubicacion
Relais & Chateaux Heritage Madrid Hotel,"El Heritage Madrid Hotel cuenta con 46 habitaciones, 7 de ellas suites, donde nuestro principal objetivo es hacerle sentir una experiencia única en uno de los mejores hoteles de Madrid. Todas las habitaciones disponen de conexión wifi de alta velocidad, televisión de pantalla plana y Ihome destinados a hacer su estancia más cómoda y agradable. Los muebles del siglo XIX restaurados con cariño que componen cada habitación han sido traídos de distintos países de Europa propiciando un ambiente acogedor y tranquilo. En Heritage Madrid Hotel todos los detalles están cuidados al máximo detalle con lujo, refinamiento y comodidad haciéndole sentir como en casa.",null,Relais & Chateaux Heritage Madrid Hotel,354 €,"5,0","[""Aparcamiento privado de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Jacuzzi"",""Bar/salón"",""Actividades para niños (acondicionado para familias / niños)"",""Servicio de taxi"",""Centro de negocios con acceso a Internet"",""Salas de reuniones"",""Albornoces"",""Aire acondicionado"",""Mesa de escritorio"",""Servicio de limpieza"",""Servicio de habitaciones"",""Cafetera/tetera"",""Televisor de pantalla plana"",""Bañera/ducha""]","[""Habitaciones de no fumadores"",""Suites""]","Calle de Diego de Leon 43, 28006 Madrid España"
"SLEEP'N Atocha","Somos un equipo humano y comprometido que trabaja para impulsar un nuevo turismo, más sostenible y más consciente. Decimos con orgullo que somos el primer alojamiento B Corp en España y el segundo en Europa, un sello que certifica nuestro cumplimiento con los más altos estándares en términos de desempeño social y ambiental, transparencia y responsabilidad empresarial.",null,"SLEEP'N Atocha",99 €,"4,5","[""Aparcamiento privado de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Cafetería"",""Juegos de mesa/puzles"",""Estancia gratuita para niños"",""Canales de televisión infantiles"",""Servicio de taxi"",""Vigilancia 24 horas"",""Cortinas opacas"",""Aire acondicionado"",""Servicio de limpieza"",""Balcón privado"",""Caja fuerte"",""TV por cable o satélite"",""Ducha a ras de suelo""]","[""Habitaciones insonorizadas"",""Vistas a la ciudad"",""Habitaciones de no fumadores"",""Habitaciones para familias""]",
Only YOU Boutique Hotel Madrid,"Only YOU Boutique Hotel Madrid te ofrece la oportunidad de vivir una experiencia única y exclusiva. Encontrarás un lugar excepcional, un lugar donde suceden cosas que querrás compartir y de las que tú eres el protagonista. En el corazón de la capital, en un palacete del siglo XIX completamente reformado, se encuentra nuestro hotel diseñado para ti.",null,Only YOU Boutique Hotel Madrid,237 €,"5,0","[""Aparcamiento público de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Servicio de taxi"",""Centro de negocios con acceso a Internet"",""Salas de reuniones"",""Envoltura corporal"",""Cortinas opacas"",""Aire acondicionado"",""Mesa de escritorio"",""Minibar"",""TV por cable o satélite"",""Camas extragrandes"",""Ducha a ras de suelo""]","[""Habitaciones insonorizadas"",""Vistas a la ciudad"",""Habitaciones de no fumadores"",""Suites"",""Habitaciones para familias""]","Calle Barquillo, 21, 28004 Madrid España"
Dear Hotel Madrid,"Bienvenido a Dear Hotel,el nuevo hotel boutique de diseño en el centro de Madrid,con impresionantes vistas sobre Gran Vía y Plaza de España.El hotel cuenta en la planta 14 con el Restaurante & Lounge bar Nice to meet you,con terraza panorámica,vistas 360ºy una Skypool. Cocina actual,en un ambiente cosmopolita y distendido,cócteles,y música DJ.",No hay link,Dear Hotel Madrid,164 €,"4,5","[""Aparcamiento privado de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Piscina"",""Bar/salón"",""Transporte desde/al aeropuerto"",""Salas de reuniones"",""Terraza en el ático"",""Vigilancia 24 horas"",""Aire acondicionado"",""Servicio de limpieza"",""Balcón privado"",""Servicio de habitaciones"",""Minibar"",""Frigorífico"",""Televisor de pantalla plana""]","[""Habitaciones insonorizadas"",""Habitaciones de no fumadores"",""Suites""]","Calle Gran Via 80 Junto a Plaza de España, 28013 Madrid España"
Only YOU Hotel Atocha,"Only YOU Hotel Atocha: El hotel se encuentra ubicado en una zona céntrica de Madrid, en el paseo Infanta Isabel, frente a la estación de tren Madrid Puerta de Atocha y a escasos metros del parque del Retiro. A la belleza del edificio histórico, se añade su cuidado diseño, un interiorismo basado en el juego ecléctico de recursos con un carácter sofisticadamente desenfadado con la intención de crear un ambiente de confort urbano.",null,Only YOU Hotel Atocha,167 €,"5,0","[""Aparcamiento privado de pago dentro del recinto"",""Internet de alta velocidad gratuito (wifi)"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Alquiler de coches"",""Centro de negocios con acceso a Internet"",""Instalaciones para conferencias"",""Terraza en el ático"",""Habitación hipoalergénica"",""Cortinas opacas"",""Aire acondicionado"",""Servicio de limpieza"",""Balcón privado"",""Servicio de habitaciones"",""Minibar"",""Televisor de pantalla plana"",""Suite nupcial""]","[""Habitaciones de no fumadores"",""Suites"",""Habitaciones para familias""]","Paseo de la Infanta Isabel, 13, 28014 Madrid España"
ARTIEM Madrid,"El hotel ARTIEM Madrid se convertirá en tu segunda casa cuando viajes por negocios. Este rincón es perfecto para celebrar una reunión, inspirarse para trabajar, seguir tu rutina deportiva y, por supuesto desconectar de la capital. Aquí, encontraras paz y descanso. Te enamorará este pequeño oasis urbano con mucho “green” diseñado para convertirse en el refugio al que regresar para relajarse después de un intenso día en Madrid. Ubicado en el barrio residencial de Arturo Soria, a tan solo 15 minutos del aeropuerto y 12 minutos en coche del centro de Madrid.",https://www.tripadvisor.es/Commerce?p=TABAIndependentHotels&src=0&geo=231633&from=Hotel_Review&area=&slot=3&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=258366266&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkUPMoXqF0WqUzs16nPFFbTQ4ZBHvjhROZ6olw0GKVMxlvzQgqHipUfHem4xE_ixrxQ&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=3&inYear=2023&outMonth=3&outYear=2023&def_d=true&bapid=3&cs=197f5b70949920b64a4829a4a4fab01c8&ba_uid=d2a09050-e580-4def-9551-af87354183c8,ARTIEM Madrid,101 €,"5,0","[""Aparcamiento privado de pago dentro del recinto"",""Internet de alta velocidad gratuito (wifi)"",""Bar/salón"",""Servicio de taxi"",""Espacio para guardar el equipaje"",""Conserje"",""Recepción 24 horas"",""Lavado en seco"",""Habitación hipoalergénica"",""Cortinas opacas"",""Servicio de limpieza"",""Servicio de habitaciones"",""Caja fuerte"",""Televisor de pantalla plana"",""Secador de pelo""]","[""Habitaciones insonorizadas"",""Habitaciones de no fumadores"",""Suites""]","Calle Juan Pérez Zúñiga, 20, 28027 Madrid España"
Artrip Hotel,"¿Buscas donde alojarte en Madrid? Entonces no te pierdas Artrip Hotel, un hotel boutique que te acerca a lo mejor de Madrid.
Las habitaciones de los huéspedes incluyen televisor de pantalla plana y aire acondicionado, y Artrip Hotel te ayuda a que estés conectado, ya que dispone de wifi gratuito.
También puedes aprovechar algunos de los servicios que ofrece el hotel, como recepción abierta 24 horas, conserje y espacio para guardar el equipaje. Además, los huéspedes pueden disfrutar de desayuno buffet durante su visita. Otra ventaja añadida es que hay aparcamiento público de pago cerca disponible para los huéspedes.",No hay link,Artrip Hotel,150 €,"5,0","[""Aparcamiento público de pago cerca"",""Aparcamiento en la calle"",""Internet de alta velocidad gratuito (wifi)"",""Cafetería"",""Servicio de taxi"",""Espacio para guardar el equipaje"",""Conserje"",""Recepción 24 horas"",""Aire acondicionado"",""Balcón privado"",""Caja fuerte"",""Teléfono"",""Televisor de pantalla plana"",""Bañera/ducha"",""Artículos de aseo gratuitos de cortesía""]","[""Habitaciones insonorizadas"",""Habitaciones de no fumadores"",""Suites"",""Habitaciones para familias""]","Valencia, 11, 28012 Madrid España"
Petit Palace Triball,"El Hotel Boutique Petit Palace Triball se encuentra en la Gran Vía madrileña, el corazón comercial y de ocio de la ciudad.
Su céntrica localización le permitirá explorar el ""triángulo de oro del arte"", que comprende algunos de los mejores museos del mundo. En el propio hotel se dan cita la elegancia del siglo XIX y las más avanzadas instalaciones y servicios, incluyendo conexión Wi-Fi Premium gratuita en todo el hotel y prensa internacional.",null,Petit Palace Triball,114 €,"4,5","[""Aparcamiento privado de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Desayuno bufé"",""Alquiler de bicicletas"",""Bicicletas disponibles"",""Tronas disponibles"",""Carritos de bebé"",""Se admiten mascotas"",""Cortinas opacas"",""Aire acondicionado"",""Servicio de limpieza"",""Teléfono"",""Armario"",""Minibar"",""Televisor de pantalla plana"",""Ducha a ras de suelo""]","[""Vistas a la ciudad"",""Habitaciones de no fumadores"",""Habitaciones para familias""]",
Hotel Riu Plaza España,"El Hotel Riu Plaza España abrió sus puertas en agosto de 2019 en el Edificio España que es el octavo edificio más alto de Madrid, España, y uno de los edificios más icónicos de la ciudad. Es un ejemplo de la arquitectura española del siglo 20 construido en estilo neobarroco. Se encuentra a unos aprox. 20 km del aeropuerto de Madrid-Barajas Adolfo Suárez (MAD). Este hotel es ideal tanto para viajes de ocio como de negocios. Las 584 habitaciones de diseño moderno y elegantemente decoradas, con Wi-Fi gratuito, ofrecen el máximo confort y descanso. En las 17 elegantes y modernas salas de conferencias podrá organizar con éxito sus eventos y reuniones. Para los amantes de la gastronomía, se ofrece a los huéspedes un restaurante buffet, así como un Sky Bar y un Lobby Bar para aperitivos y bebidas. Visite la reinventada azotea. La terraza de 360º cuenta ahora con un nuevo Gastrobar llamado El Edén y un atractivo más que se suma a sus espectaculares vistas de la capital: un mirador transparente que da a la recién inaugurada Plaza de España. Este balcón acristalado que cuelga a 100 metros de altura sobre el suelo ofrece a los visitantes más intrépidos una panorámica espectacular de la zona sur de la capital.",null,Hotel Riu Plaza España,169 €,"4,0","[""Aparcamiento público de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Piscina"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Guardería"",""Servicio de taxi"",""Centro de negocios con acceso a Internet"",""Aire acondicionado"",""Mesa de escritorio"",""Servicio de limpieza"",""Balcón privado"",""Cafetera/tetera"",""TV por cable o satélite"",""Sofá cama"",""Bañera de hidromasaje""]","[""Vistas a la ciudad"",""Habitaciones de no fumadores"",""Suites"",""Habitaciones para familias""]","Calle Gran Via 84, 28013 Madrid España"
ME Madrid Reina Victoria,"El Hotel ME Madrid Reina Victoria se encuentra estratégicamente situado en el centro de la ciudad, con fácil acceso a los principales puntos de interés como son los Museos del Prado, Thyssen-Bornemisza y Reina Sofía, el Parque del Retiro, el Congreso, Puerta del Sol, Plaza Mayor, el Palacio Real y la zona comercial y empresarial.",null,ME Madrid Reina Victoria,225 €,"4,5","[""Punto de recarga de vehículos eléctricos"",""Internet de alta velocidad gratuito (wifi)"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Alquiler de bicicletas"",""Pub/DJ"",""Guardería"",""Se admiten mascotas"",""Habitación hipoalergénica"",""Aire acondicionado"",""Balcón privado"",""Servicio de habitaciones"",""Minibar"",""Televisor de pantalla plana""]","[""Habitaciones insonorizadas"",""Habitaciones interconectadas disponibles"",""Habitaciones de no fumadores"",""Suites""]","Plaza de Santa Ana 14, 28012 Madrid España"
