nombre,tipo,puntuacion,barrio,lat,long
Hostal Fabiola,Hotel,3.5,Barrio no encontrado,40.25736,-3.237679
Hostal Oporto,Hotel,3.5,Cortes,40.41656,-3.6985126
CoolRooms Palacio de Atocha,Hotel,5.0,Embajadores,40.41299,-3.7010562
Hotel Sterling,Hotel,3.5,Barrio no encontrado,40.613663,-4.0475817
Petit Palace Arenal,Hotel,4.0,Sol,40.41728,-3.706405
Room007 Select Sol,Hotel,4.0,Palacio,40.417492,-3.708682
Apartamentos El Tiempo,Hotel,3.5,Barrio no encontrado,40.441925,-3.5318096
Hostal Mayor,Hotel,4.5,Sol,40.416378,-3.705515
NH Madrid Lagasca,Hotel,4.0,Recoletos,40.42749,-3.6849265
Hostal Splendid,Hotel,4.0,Barrio no encontrado,40.4726,-3.8717232
