nombre,tipo,puntuacion,barrio,lat,long
Spicy Soul Hot Pot,Restaurante,"5,0 ",Castellana,40.4351276,-3.684034
Los Montes de Galicia,Restaurante,"5,0 ",Guindalera,40.4347469,-3.6682597
Empanadas Malvón,Restaurante,"5,0 ",Trafalgar,40.4319368,-3.6984373
Pastamore,Restaurante,"5,0 ",Jerónimos,40.4206967,-3.6851451
Amazonia Brunch And Cocktail,Restaurante,"5,0 ",Universidad,40.422789,-3.7039478
La Bajada Street Food,Restaurante,"5,0 ",Justicia,40.427061,-3.698529
Restaurante Salitre,Restaurante,"4,0 ",Castellana,40.432858,-3.6800132
Kathmandu Tandoori House,Restaurante,"5,0 ",Casco Histórico de Barajas,40.474371,-3.57874
Ástor,Restaurante,"5,0 ",Palacio,40.412697,-3.7096528
Grama Lounge,Restaurante,"5,0 ",Cortes,40.4155198,-3.7017311
Zenith Brunch & Cocktails,Restaurante,"5,0 ",Universidad,40.4224392,-3.7016165
Pizzart Villa Luchana,Restaurante,"5,0 ",Trafalgar,40.4302867,-3.7005461
Restaurante Pólvora,Restaurante,"4,0 ",Castellana,40.4328293,-3.6806908
Brunchit Malasaña,Restaurante,"5,0 ",Universidad,40.4256619,-3.7085088
Entre Santos Madrid,Restaurante,"5,0 ",Barrio no encontrado,40.7345756,-3.9449715
Pituca Madrid,Restaurante,"5,0 ",Casa de Campo,40.4272076,-3.7191617
Steakburger Fuencarral,Restaurante,"4,5 ",Arapiles,40.4326593,-3.7038935
Restaurante La Gaditana,Restaurante,"4,5 ",Goya,40.4250237,-3.670776
Indian Aroma,Restaurante,"4,5 ",Cortes,40.415914,-3.6989759
Peppe Fusco The Italian,Restaurante,"5,0 ",Arapiles,40.4333131,-3.7041275
Trattoria Pulcinella,Restaurante,"4,5 ",Justicia,40.4246294,-3.6965193
Sibuya Urban Sushi Bar Madrid C/Orense,Restaurante,"5,0 ",Barrio no encontrado,40.4884792,-3.3522585214827947
La Mariterranea - Madrid,Restaurante,"5,0 ",Goya,40.4233722,-3.6785433
Cafe de la Cruz,Restaurante,"3,5 ",Barrio no encontrado,40.4808735,-3.3940207
Sibuya Urban Sushi Bar Madrid C/ibiza,Restaurante,"5,0 ",Ibiza,40.4183439,-3.6743147
GastroVía 61,Restaurante,"4,5 ",Palacio,40.4223974,-3.710121
