nombre,tipo,puntuacion,barrio,lat,long
Källa Beer Factory,Restaurante,"4,5 ",Justicia,40.421726,-3.6978574
Casa Mateos,Restaurante,"4,5 ",Palacio,40.410046,-3.7123468
Lolamenta Ponzano,Restaurante,"3,5 ",Trafalgar,40.437664,-3.699407
Oakberry Açaí Bowls,Restaurante,"5,0 ",Barrio no encontrado,40.503105,-3.2535982
"La Tagliatella Avda. Manoteras, Madrid",Restaurante,"3,0 ",Valdefuentes,40.486034,-3.6656427
Gourment Empanadas,Restaurante,"3,5 ",Castillejos,40.458027,-3.6967814
Deessa,Restaurante,"4,5 ",Cortes,40.41555,-3.6927254
Camarote,Restaurante,"2,0 ",Palacio,40.411636,-3.7107482
Bar Yago,Restaurante,"5,0 ",Valdefuentes,40.488853,-3.6669786
Cafe Milano,Restaurante,"1,5 ",Embajadores,40.412987,-3.7000499
