_id,nombre,puntuacion,direccion,cp,ciudad,pais,enlace,tipo_cocina,direccion_completa,lat,long,precio
1,Spicy Soul Hot Pot,"5,0 ",Calle de Diego de León 11,28006,Madrid,España,http://blog.malawaimai.com/,['China'],"Calle de Diego de León 11, 28006, Madrid",40.4351276,-3.684034,No hay información del precio
2,Los Montes de Galicia,"5,0 ",Calle Azcona 46,28028,Madrid,España,http://www.losmontesdegalicia.es/,"['Internacional', 'Mediterránea', 'Española']","Calle Azcona 46, 28028, Madrid",40.4347469,-3.6682597,€€ - €€€
3,Empanadas Malvón,"5,0 ",Calle de Luchana 3,28010,Madrid,España,http://www.malvon.es/sucursal/malvon-luchana,"['Argentina', 'Sudamericana']","Calle de Luchana 3, 28010, Madrid",40.4319368,-3.6984373,No hay información del precio
4,Pastamore,"5,0 ","Calle Alcalá, 191",28009,Madrid,España,http://pastamore.es/,"['Italiana', 'Pizza', 'Mediterránea']","Calle Alcalá, 191, 28009, Madrid",40.4206967,-3.6851451,€€ - €€€
5,Amazonia Brunch And Cocktail,"5,0 ",Calle del Pez 4,28004,Madrid,España,No hay link,"['Americana', 'Café', 'Internacional']","Calle del Pez 4, 28004, Madrid",40.422789,-3.7039478,€€ - €€€
6,La Bajada Street Food,"5,0 ","Calle de Mejía Lequerica, 10",28004,Madrid,España,No hay link,"['Peruana', 'Street food / Comida en la calle', 'Sudamericana']","Calle de Mejía Lequerica, 10, 28004, Madrid",40.427061,-3.698529,No hay información del precio
7,Restaurante Salitre,"4,0 ",Juan Bravo 25,28006,Madrid,España,No hay link,"['Marisco', 'Internacional', 'Mediterránea', 'Española']","Juan Bravo 25, 28006, Madrid",40.432858,-3.6800132,No hay información del precio
8,Kathmandu Tandoori House,"5,0 ","Calle Acuario, 11",28042,Madrid,España,http://kathmandu-tandoori-house.business.site/,"['India', 'Asiática', 'Saludable']","Calle Acuario, 11, 28042, Madrid",40.474371,-3.57874,€€ - €€€
9,Ástor,"5,0 ",Calle del Almendro 9,28005,Madrid,España,http://www.astor.es/,"['Internacional', 'Mediterránea', 'Europea']","Calle del Almendro 9, 28005, Madrid",40.412697,-3.7096528,€€ - €€€
10,Grama Lounge,"5,0 ",Calle de la Cruz 19,28012,Madrid,España,http://www.gramabar.com/,"['Latina', 'Bar', 'Venezolana']","Calle de la Cruz 19, 28012, Madrid",40.4155198,-3.7017311,€€ - €€€
11,Zenith Brunch & Cocktails,"5,0 ",Calle Valverde 28,28004,Madrid,España,http://www.zenithcaffe.es/,"['Café', 'Internacional', 'Europea']","Calle Valverde 28, 28004, Madrid",40.4224392,-3.7016165,€€ - €€€
12,Pizzart Villa Luchana,"5,0 ",Luchana 17,28010,Madrid,España,http://www.pizzartpizza.com/,"['Italiana', 'Pizza', 'Saludable']","Luchana 17, 28010, Madrid",40.4302867,-3.7005461,€€ - €€€
13,Restaurante Pólvora,"4,0 ",Calle de Juan Bravo 23,28006,Madrid,España,http://restaurantepolvora.com/,"['Restaurante de carne', 'Marisco', 'Europea']","Calle de Juan Bravo 23, 28006, Madrid",40.4328293,-3.6806908,€€ - €€€
14,Brunchit Malasaña,"5,0 ",Calle Noviciado 12,28015,Madrid,España,No hay link,"['Café', 'Internacional', 'Mediterránea', 'Española']","Calle Noviciado 12, 28015, Madrid",40.4256619,-3.7085088,No hay información del precio
15,Entre Santos Madrid,"5,0 ",Calle San Bartolomè 4,28004,Madrid,España,http://www.entresantos.es/,"['Mediterránea', 'Europea', 'Española']","Calle San Bartolomè 4, 28004, Madrid",40.7345756,-3.9449715,€€ - €€€
16,Pituca Madrid,"5,0 ",C/ De Quintana 30,28008,Madrid,España,http://pitucamadrid.es/,"['Peruana', 'Latina', 'Española']","C/ De Quintana 30, 28008, Madrid",40.4272076,-3.7191617,No hay información del precio
17,Steakburger Fuencarral,"4,5 ",Calle Fuencarral 73,28010,Madrid,España,http://www.steakburger.es/,"['Americana', 'Barbacoa', 'Opciones vegetarianas']","Calle Fuencarral 73, 28010, Madrid",40.4326593,-3.7038935,€€ - €€€
18,Restaurante La Gaditana,"4,5 ",Calle Fuente del Berro 23,28009,Madrid,España,http://www.tabernalagaditana.com/restaurante/,"['Mediterránea', 'Europea', 'Española']","Calle Fuente del Berro 23, 28009, Madrid",40.4250237,-3.670776,€€ - €€€
19,Indian Aroma,"4,5 ","Calle de Ventura de la Vega, 6",28014,Madrid,España,http://www.restauranteindianaroma.com/,"['India', 'Asiática', 'Saludable']","Calle de Ventura de la Vega, 6, 28014, Madrid",40.415914,-3.6989759,€€ - €€€
20,Peppe Fusco The Italian,"5,0 ",Fuencarral 139,28010,Madrid,España,http://peppefusco.com/,['Italiana'],"Fuencarral 139, 28010, Madrid",40.4333131,-3.7041275,No hay información del precio
21,Trattoria Pulcinella,"4,5 ","C/ de Regueros, 7",28004,Madrid,España,http://www.pulcinellamadrid.com/,"['Italiana', 'Napolitana', 'De Campania']","C/ de Regueros, 7, 28004, Madrid",40.4246294,-3.6965193,€€ - €€€
23,Sibuya Urban Sushi Bar Madrid C/Orense,"5,0 ",Calle Orense 11,28020,Madrid,España,http://sibuya.es/,"['Japonesa', 'Sushi', 'Asiática']","Calle Orense 11, 28020, Madrid",40.4884792,-3.3522585214827947,€€ - €€€
24,La Mariterranea - Madrid,"5,0 ",Calle De Alcalá 90,28009,Madrid,España,http://www.mariterranea.com/,"['Mediterránea', 'Española', 'Contemporánea']","Calle De Alcalá 90, 28009, Madrid",40.4233722,-3.6785433,€€ - €€€
25,Cafe de la Cruz,"3,5 ",Calle Arturo Soria 6,28027,Madrid,España,http://www.cafedelacruz.es/,"['Mediterránea', 'Española']","Calle Arturo Soria 6, 28027, Madrid",40.4808735,-3.3940207,€€ - €€€
26,Sibuya Urban Sushi Bar Madrid C/ibiza,"5,0 ","Calle Ibiza, 33",28009,Madrid,España,No hay link,"['Japonesa', 'Sushi', 'Fusión japonesa']","Calle Ibiza, 33, 28009, Madrid",40.4183439,-3.6743147,No hay información del precio
27,GastroVía 61,"4,5 ","Calle Flor Baja, 6",28013,Madrid,España,No hay link,"['Mediterránea', 'Europea', 'Española']","Calle Flor Baja, 6, 28013, Madrid",40.4223974,-3.710121,€€ - €€€
31,Osteria Bravissimo,"5,0 ","Paseo del Pintor Rosales, 52",28008,Madrid,España,https://www.osteriabravissimo.com/,"['Francesa', 'Española', 'Sudamericana', 'Del sur de Italia']","Paseo del Pintor Rosales, 52, 28008, Madrid",40.4294952,-3.7219844,No hay información del precio
33,Sakale,"5,0 ",Calle del Molino de Viento 4,28004,Madrid,España,http://sakalemadrid.com/,"['Mexicana', 'Japonesa', 'Caribeña']","Calle del Molino de Viento 4, 28004, Madrid",40.4232664,-3.7037237,€€ - €€€
35,Steakburger Gran Vía 16,"4,5 ","Gran Vía, 16",28013,Madrid,España,http://steakburger.es/,"['Americana', 'Restaurante de carne', 'Barbacoa']","Gran Vía, 16, 28013, Madrid",40.4197995,-3.6993966,€€ - €€€
37,Lettera Trattoria moderna,"5,0 ",Calle de la Reina 20,28004,Madrid,España,http://letteramadrid.com/,"['Italiana', 'Mediterránea', 'Europea']","Calle de la Reina 20, 28004, Madrid",40.4197308,-3.6981938,€€ - €€€
38,Eiffel,"4,5 ","Calle Seseña, 18 BAJO",28024,Madrid,España,http://cenasmagicas.es/,"['Mediterránea', 'Europea', 'Española']","Calle Seseña, 18 BAJO, 28024, Madrid",40.3958699,-3.7675557,€€ - €€€
39,Taberna el Sur,"4,5 ",Calle Torrecilla Del Leal 12,28012,Madrid,España,http://www.facebook.com/pages/Taberna-El-Sur/160484570662848,"['Mediterránea', 'Europea', 'Española']","Calle Torrecilla Del Leal 12, 28012, Madrid",40.4110452,-3.6995044,€€ - €€€
42,Santita Virgen de los Peligros,"5,0 ",Calle de la Virgen de los Peligros 10,28013,Madrid,España,http://www.santita.es/,"['Mexicana', 'Latina', 'Saludable']","Calle de la Virgen de los Peligros 10, 28013, Madrid",40.418907,-3.6995762,€€ - €€€
43,Taberna de Peñalver,"5,0 ","Calle del Conde de Peñalver, 90",28006,Madrid,España,http://www.latabernadepenalver.com/,"['Marisco', 'Mediterránea', 'Bares para comer']","Calle del Conde de Peñalver, 90, 28006, Madrid",40.4337774,-3.6747828,€€ - €€€
44,Taberna Más Al Sur,"4,5 ",Calle Santa Isabel Nº 35,28012,Madrid,España,http://www.facebook.com/pages/Taberna-Mas-Al-Sur/1495395980751442,"['Mediterránea', 'Europea', 'Española']","Calle Santa Isabel Nº 35, 28012, Madrid",40.0316541,-3.5908194,€€ - €€€
45,Ornella,"4,5 ",Calle Velazquez 18,28001,Madrid,España,http://www.ornellamadrid.com/,"['Italiana', 'Mediterránea', 'Europea']","Calle Velazquez 18, 28001, Madrid",40.54924145,-3.8907136194325984,€€ - €€€
46,Mu! El Placer De La Carne,"4,5 ",Calle Chinchilla 3,28013,Madrid,España,http://www.mu-elplacerdelacarne.es/,"['Restaurante de carne', 'Latina', 'Barbacoa']","Calle Chinchilla 3, 28013, Madrid",40.4194576,-3.7039464,€€ - €€€
49,Steakburger - Luchana,"4,5 ",Calle Luchana 17,28010,Madrid,España,No hay link,"['Americana', 'Comida rápida', 'Barbacoa']","Calle Luchana 17, 28010, Madrid",40.4302867,-3.7005461,€€ - €€€
50,Oven Mozzarella Bar Atocha,"4,5 ",Atocha 114,28012,Madrid,España,http://www.confuego.es/reservar-oven/reservar-en-oven-bar-atocha,"['Italiana', 'Toscana', 'Del centro de Italia']","Atocha 114, 28012, Madrid",40.4094709,-3.6934229,€€ - €€€
51,Oven Mozzarella Bernabeu,"5,0 ",Concha Espina 4,28036,Madrid,España,http://www.oven.es/,"['Italiana', 'Pizza', 'Del Lacio']","Concha Espina 4, 28036, Madrid",40.4520557,-3.6853594,€€ - €€€
