_id,enlace,nombre,puntuacion,tipo_cocina,ubicacion
Spicy Soul Hot Pot,http://blog.malawaimai.com/,Spicy Soul Hot Pot,"5,0 ","['China']","Calle de Diego de León 11, 28006 Madrid España"
Los Montes de Galicia,http://www.losmontesdegalicia.es/,Los Montes de Galicia,"5,0 ","['€€ - €€€', 'Internacional', 'Mediterránea', 'Española']","Calle Azcona 46, 28028 Madrid España"
Empanadas Malvón,http://www.malvon.es/sucursal/malvon-luchana,Empanadas Malvón,"5,0 ","['Argentina', 'Sudamericana']","Calle de Luchana 3, 28010 Madrid España"
Pastamore,http://pastamore.es/,Pastamore,"5,0 ","['€€ - €€€', 'Italiana', 'Pizza', 'Mediterránea']","Calle Alcalá, 191, 28009 Madrid España"
Amazonia Brunch And Cocktail,No hay link,Amazonia Brunch And Cocktail,"5,0 ","['€€ - €€€', 'Americana', 'Café', 'Internacional']","Calle del Pez 4, 28004 Madrid España"
La Bajada Street Food,No hay link,La Bajada Street Food,"5,0 ","['Peruana', 'Street food / Comida en la calle', 'Sudamericana']","Mejia Lequerica 10. Mercado Barceló. Madrid Mercado Barceló - Segunda Planta Interior. Referencia: Acceso Frente Al Hotel Eurostars., 28004 Madrid España"
Restaurante Salitre,,Restaurante Salitre,"4,0 ","['Marisco', 'Internacional', 'Mediterránea', 'Española']","Juan Bravo 25, 28006 Madrid España"
Kathmandu Tandoori House,http://kathmandu-tandoori-house.business.site/,Kathmandu Tandoori House,"5,0 ","['€€ - €€€', 'India', 'Asiática', 'Saludable']","Calle Acuario, 11, 28042 Madrid España"
Ástor,http://www.astor.es/,Ástor,"5,0 ","['€€ - €€€', 'Internacional', 'Mediterránea', 'Europea']","Calle del Almendro 9, 28005 Madrid España"
Grama Lounge,http://www.gramabar.com/,Grama Lounge,"5,0 ","['€€ - €€€', 'Latina', 'Bar', 'Venezolana']","Calle de la Cruz 19, 28012 Madrid España"
Zenith Brunch & Cocktails,http://www.zenithcaffe.es/,Zenith Brunch & Cocktails,"5,0 ","['€€ - €€€', 'Café', 'Internacional', 'Europea']","Calle Valverde 28, 28004 Madrid España"
Pizzart Villa Luchana,http://www.pizzartpizza.com/,Pizzart Villa Luchana,"5,0 ","['€€ - €€€', 'Italiana', 'Pizza', 'Saludable']","Luchana 17, 28010 Madrid España"
Restaurante Pólvora,http://restaurantepolvora.com/,Restaurante Pólvora,"4,0 ","['€€ - €€€', 'Restaurante de carne', 'Marisco', 'Europea']","Calle de Juan Bravo 23, 28006 Madrid España"
Brunchit Malasaña,,Brunchit Malasaña,"5,0 ","['Café', 'Internacional', 'Mediterránea', 'Española']","Calle Noviciado 12, 28015 Madrid España"
