_id,categoria,link,nombre,puntuacion,ubicacion,lat,long
Museo del Prado,Museos de arte,http://www.museodelprado.es/,Museo del Prado,4.5,"Calle Ruiz de Alarcon 23, 28014 Madrid España",40.41379255,-3.6920378829351304
Palacio Real de Madrid,"['Lugares históricos', 'Interés arquitectonico']",http://www.patrimonionacional.es/real-sitio/palacios/6039,Palacio Real de Madrid,4.5,"Plaza De Oriente S/n, 28071 Madrid España",40.4183453,-3.7129475887257177
Museo Nacional Thyssen-Bornemisza,Museos especializados,http://www.museothyssen.org/thyssen/home,Museo Nacional Thyssen-Bornemisza,4.5,"Paseo del Prado 8, 28014 Madrid España",40.4162159,-3.6949316886569106
Gran Vía,Puntos emblemáticos y de interés,https://diario.madrid.es/granvia/lo-que-ha-sido/,Gran Vía,4.5,"Street Gran Via, 28013 Madrid España",40.4208889,-3.7065371
Plaza Mayor,"['Lugares históricos', 'Puntos emblemáticos y de interés']",http://www.esmadrid.com/informacion-turistica/plaza-mayor-madrid,Plaza Mayor,4.0,"Calle Gerona 4, 28012 Madrid España",40.4860702,-3.3390054
Estadio Santiago Bernabéu,Campos y estadios,http://www.realmadrid.com/entradas/tour-bernabeu,Estadio Santiago Bernabéu,4.5,"Avenida Concha Espina 1, 28036 Madrid España",40.5902963,-4.1569433
Museo Nacional Centro de Arte Reina Sofía,Museos de arte,http://www.museoreinasofia.es/index_en.html,Museo Nacional Centro de Arte Reina Sofía,4.5,"Calle Santa Isabel 52, 28012 Madrid España",40.0316541,-3.5908194
Museo Arqueológico Nacional,"['Museos de arte', 'Museos de historia']",http://www.man.es/man/en/home,Museo Arqueológico Nacional,4.5,"Calle Serrano 13, 28001 Madrid España",40.4234289,-3.6888894
Templo de Debod,"['Ruinas antiguas', 'Interés arquitectonico']",http://www.madrid.es/portales/munimadrid/es/Inicio/templodebod/?vgnextoid=46caa0d03aa8b010VgnVCM100000d90ca8c0RCRD&vgnextchannel=0c369e242ab26010VgnVCM100000dc0ca8c0RCRD&rmColeccion=30fe658f83a5d010VgnVCM1000000b205a0aRCRD,Templo de Debod,4.0,"Calle Ferraz 1, 28008 Madrid España",40.4240372,-3.7177252129764895
Museo Cerralbo,"['Lugares históricos', 'Interés arquitectonico', 'Museos de arte']",http://www.culturaydeporte.gob.es/mcerralbo/home.html,Museo Cerralbo,4.5,"C/ Ventura Rodríguez, 17, 28008 Madrid España",40.5913942,-4.1458076
Puerta del Sol,Puntos emblemáticos y de interés,http://www.esmadrid.com/informacion-turistica/puerta-del-sol,Puerta del Sol,4.0,"Puerta del Sol, 28013 Madrid España",40.4168582,-3.704298645445678
Paseo del Prado,Puntos emblemáticos y de interés,http://turismomadrid.es/es/,Paseo del Prado,4.5,"Paseo del Prado, Madrid",40.4147816,-3.6943046
Museo Naval,"['Museos especializados', 'Museos de historia']",http://www.fundacionmuseonaval.com/,Museo Naval,4.5,"Paseo del Prado 5, 28014 Madrid España",40.41752575,-3.692380646477055
La Latina,Barrios,http://www.facebook.com/El-campo-de-Cebada-180735625274126,La Latina,4.5,"La Latina, Madrid",40.4112911,-3.7083094
Plaza de Toros de Las Ventas,"['Lugares históricos', 'Puntos emblemáticos y de interés', 'Interés arquitectonico', 'Campos y estadios']",http://www.las-ventas.com/,Plaza de Toros de Las Ventas,4.0,"Calle de Alcala 237, 28028 Madrid España",40.428359,-3.6682744
Catedral de Sta María la Real de la Almudena,Iglesias y catedrales,http://www.catedraldelaalmudena.es/,Catedral de Sta María la Real de la Almudena,4.0,"Calle Bailén 10, 28013 Madrid España",40.0286178,-3.6079433
Plaza de Santa Ana,"['Puntos emblemáticos y de interés', 'Parques']",https://www.tripadvisor.es/RestaurantsNear-g187514-d190148-Plaza_de_Santa_Ana-Madrid.html,Plaza de Santa Ana,4.5,"Plaza de Santa Ana, Madrid",40.41480405,-3.700791305837731
Puerta de Alcalá,"['Puntos emblemáticos y de interés', 'Monumentos y estatuas']",http://www.palaciodehielo.com/,Puerta de Alcalá,4.5,"Plaza de la Independencia, 1, 28001 Madrid España",40.4203456,-3.6888705
Mementorium,Teatros,http://www.mementorium.com/,Mementorium,5.0,"Calle Embajadores 35, 28012 Madrid España",40.4048383,-3.702243
Parque Madrid Río,Parques,http://www.madrid.es/portales/munimadrid/es/Inicio/Ayuntamiento/Urbanismo-e-Infraestructuras/Parque-Madrid-Rio?vgnextfmt=default&vgnextoid=4fec1d25e5356310VgnVCM2000000c205a0aRCRD&vgnextchannel=8dba171c30036010VgnVCM100000dc0ca8c0RCRD,Parque Madrid Río,4.5,"Paseo de la Ermita del Santo 14 16, 28011 Madrid España",40.405812,-3.724589
CaixaForum,Museos especializados,http://caixaforum.es/es/madrid/home,CaixaForum,4.5,"Paseo Prado 36, 28014 Madrid España",40.41113955,-3.6935678945041395
Museo Lázaro Galdiano,Museos de arte,http://www.museolazarogaldiano.es/,Museo Lázaro Galdiano,4.5,"Calle Serrano 122, 28006 Madrid España",40.4526451,-3.6808674
Plaza de Oriente,Puntos emblemáticos y de interés,No disponible,Plaza de Oriente,4.5,"Calle de Bailén, 28013 Madrid España",40.4204171,-3.7128532
Casa Museo Lope de Vega,"['Museos especializados', 'Museos de historia']",http://www.casamuseolopedevega.org/es/,Casa Museo Lope de Vega,4.5,"C/ Cervantes, 11, 28014 Madrid España",40.3284236,-3.860283184863416
Ermita De San António De La Florida,"['Lugares religiosos', 'Iglesias y catedrales']",http://sanantoniodelaflorida.es/,Ermita De San António De La Florida,4.5,"Glorieta de San Antonio de La Florida 4, 28008 Madrid España",40.425688,-3.7253216
Malasaña,Barrios,tel:%2B34%20910%2017%2077%2004,Malasaña,4.5,"Calle Manuela Malasana 20, 28004 Madrid España",40.3217556,-3.7119874
Fuente de Cibeles,Fuentes,https://www.esmadrid.com/en/tourist-information/fuente-de-la-cibeles,Fuente de Cibeles,4.5,"Fuente de Cibeles, Madrid",40.4193299,-3.6930907
Barrio de Las Letras,Barrios,No disponible,Barrio de Las Letras,4.5,"Plaza de las Cortes, 28014 Madrid España",40.4151484,-3.6944117
Zoo Aquarium de Madrid,"['Zoos', 'Acuarios']",http://www.zoomadrid.com/,Zoo Aquarium de Madrid,4.0,"Casa de Campo, s/n, 28011 Madrid España",40.4256828,-3.7524319
Museo del Romanticismo,Museos especializados,http://www.mecd.gob.es/mromanticismo/inicio.htm,Museo del Romanticismo,4.5,"Calle de San Mateo 13, 28004 Madrid España",40.4259018,-3.6987822802496586
El Rastro,Mercadillos,http://www.madridtourist.info/rastro_market.html,El Rastro,4.0,"Plaza de Cascorro, 28005 Madrid España",40.4109829,-3.70735
Edificio Metrópolis,Interés arquitectonico,https://www.esmadrid.com/en/tourist-information/edificio-metropolis,Edificio Metrópolis,4.5,"Calle de Alcalá 42, 28014 Madrid España",40.4182074,-3.696513838467072
Teatro Lope de Vega,Teatros,https://www.stage.es/musicales/el-rey-leon,Teatro Lope de Vega,4.0,"Calle Gran Vía, 57, 28013 Madrid España",40.47083205,-3.871344282431271
Jardines de Sabatini,Jardines,http://www.esmadrid.com/informacion-turistica/jardines-de-sabatini,Jardines de Sabatini,4.0,"Calle Bailen 2, 28013 Madrid España",40.0286178,-3.6079433
Museo de la Real Academia de Bellas Artes de San Fernando,Museos de arte,http://www.realacademiabellasartessanfernando.com/es,Museo de la Real Academia de Bellas Artes de San Fernando,4.5,"Calle Alcala 13, 28014 Madrid España",40.4176524,-3.7006145
Monasterio de las Descalzas Reales,Museos especializados,http://www.patrimonionacional.es/real-sitio/monasterio-de-las-descalzas-reales,Monasterio de las Descalzas Reales,4.0,"Plaza de las Descalzas, 28013 Madrid España",40.4182761,-3.7064915
Parque del Oeste,Parques,http://www.esmadrid.com/informacion-turistica/parque-del-oeste,Parque del Oeste,4.5,"Paseo Moret 2, 28008 Madrid España",40.4340388,-3.7216644
Estádio Cívitas Metropolitano,Campos y estadios,http://www.atleticodemadrid.com/,Estádio Cívitas Metropolitano,4.5,"Av de Luis Aragones,4, 28022 Madrid España",40.4384092,-3.6033024
Casa de Campo,"['Lugares históricos', 'Parques']",https://www.esmadrid.com/informacion-turistica/casa-de-campo,Casa de Campo,4.0,"Paseo de la Puerta del Angel 1, 28011 Madrid España",40.4184928,-3.7350249
