_id,categoria,link,nombre,puntuacion,ubicacion
Parque El Retiro,Parques,https://www.esmadrid.com/informacion-turistica/parque-del-retiro,Parque El Retiro,4.5,"Plaza Della Indipendecia 7, 28001 Madrid España"
Museo del Prado,Museos de arte,http://www.museodelprado.es/,Museo del Prado,4.5,"Calle Ruiz de Alarcon 23, 28014 Madrid España"
Palacio Real de Madrid,Lugares históricos • Interés arquitectonico,http://www.patrimonionacional.es/real-sitio/palacios/6039,Palacio Real de Madrid,4.5,"Plaza De Oriente S/n, 28071 Madrid España"
Museo Nacional Thyssen-Bornemisza,Museos especializados,http://www.museothyssen.org/thyssen/home,Museo Nacional Thyssen-Bornemisza,4.5,"Paseo del Prado 8, 28014 Madrid España"
Gran Vía,Puntos emblemáticos y de interés,https://diario.madrid.es/granvia/lo-que-ha-sido/,Gran Vía,4.5,"Street Gran Via, 28013 Madrid España"
Plaza Mayor,Lugares históricos • Puntos emblemáticos y de interés,http://www.esmadrid.com/informacion-turistica/plaza-mayor-madrid,Plaza Mayor,4.0,"Calle Gerona 4, 28012 Madrid España"
Museo Sorolla,Museos de arte,http://www.museosorolla.es/,Museo Sorolla,4.5,"C/General Martínez Campos 37, 28010 Madrid España"
Estadio Santiago Bernabéu,Campos y estadios,http://www.realmadrid.com/entradas/tour-bernabeu,Estadio Santiago Bernabéu,4.5,"Avenida Concha Espina 1, 28036 Madrid España"
Museo Nacional Centro de Arte Reina Sofía,Museos de arte,http://www.museoreinasofia.es/index_en.html,Museo Nacional Centro de Arte Reina Sofía,4.5,"Calle Santa Isabel 52, 28012 Madrid España"
Mercado San Miguel,Mercadillos,http://www.mercadodesanmiguel.es/en/,Mercado San Miguel,4.5,"Plaza San Miguel, 28005 Madrid España"
Museo Arqueológico Nacional,Museos de arte • Museos de historia,http://www.man.es/man/en/home,Museo Arqueológico Nacional,4.5,"Calle Serrano 13, 28001 Madrid España"
Templo de Debod,Ruinas antiguas • Interés arquitectonico,http://www.madrid.es/portales/munimadrid/es/Inicio/templodebod/?vgnextoid=46caa0d03aa8b010VgnVCM100000d90ca8c0RCRD&vgnextchannel=0c369e242ab26010VgnVCM100000dc0ca8c0RCRD&rmColeccion=30fe658f83a5d010VgnVCM1000000b205a0aRCRD,Templo de Debod,4.0,"Calle Ferraz 1, 28008 Madrid España"
Plaza de Cibeles,Monumentos y estatuas,http://www.aviewoncities.com/madrid/plazadecibeles.htm,Plaza de Cibeles,4.5,"Calle de Alcala y Paseo de Recoletos, 28014 Madrid España"
Museo Cerralbo,Lugares históricos • Interés arquitectonico • Museos de arte,http://www.culturaydeporte.gob.es/mcerralbo/home.html,Museo Cerralbo,4.5,"C/ Ventura Rodríguez, 17, 28008 Madrid España"
Puerta del Sol,Puntos emblemáticos y de interés,http://www.esmadrid.com/informacion-turistica/puerta-del-sol,Puerta del Sol,4.0,"Puerta del Sol, 28013 Madrid España"
Real Basílica de San Francisco el Grande,Lugares religiosos • Iglesias y catedrales,http://www.esmadrid.com/en/tourist-information/san-francisco-el-grande?utm_referrer=https%3A%2F%2Fwww.google.com,Real Basílica de San Francisco el Grande,4.5,"Calle San Buenaventura 1 San Buenaventura, 1, 28005 Madrid España"
Palacio De Cristal,Interés arquitectonico,http://www.madrid.es/portal/site/munimadrid/menuitem.8b2184148b70b0aa7d245f019fc08a0c/,Palacio De Cristal,4.5,"Paseo República de Cuba, 4 Parque Del Retiro, 28009 Madrid España"
Paseo del Prado,Puntos emblemáticos y de interés,http://turismomadrid.es/es/,Paseo del Prado,4.5,no disponible
Museo Naval,Museos especializados • Museos de historia,http://www.fundacionmuseonaval.com/,Museo Naval,4.5,"Paseo del Prado 5, 28014 Madrid España"
Estación de Atocha,Puntos emblemáticos y de interés • Interés arquitectonico,http://www.adif.es/en_US/infraestructuras/estaciones/60000/informacion_000070.shtml,Estación de Atocha,4.0,"Glorieta Del Emperador Carlos V, 28045 Madrid España"
La Latina,Barrios,http://www.facebook.com/El-campo-de-Cebada-180735625274126,La Latina,4.5,no disponible
Barrio de Salamanca,Barrios • Paseos por zonas históricas,http://www.entredosantiguedades.com/en,Barrio de Salamanca,4.5,"José Ortega y Gasset, 8 - patio, 28006 Madrid España"
Plaza de Toros de Las Ventas,Lugares históricos • Puntos emblemáticos y de interés • Interés arquitectonico • Campos y estadios,http://www.las-ventas.com/,Plaza de Toros de Las Ventas,4.0,"Calle de Alcala 237, 28028 Madrid España"
Parque de El Capricho,Parques • Jardines,http://www.esmadrid.com/informacion-turistica/parque-del-capricho,Parque de El Capricho,4.5,"Paseo Alameda de Osuna, 25, 28042 Madrid España"
Catedral de Sta María la Real de la Almudena,Iglesias y catedrales,http://www.catedraldelaalmudena.es/,Catedral de Sta María la Real de la Almudena,4.0,"Calle Bailén 10, 28013 Madrid España"
Plaza de Santa Ana,Puntos emblemáticos y de interés • Parques,https://www.tripadvisor.es/RestaurantsNear-g187514-d190148-Plaza_de_Santa_Ana-Madrid.html,Plaza de Santa Ana,4.5,no disponible
Puerta de Alcalá,Puntos emblemáticos y de interés • Monumentos y estatuas,http://www.palaciodehielo.com/,Puerta de Alcalá,4.5,"Plaza de la Independencia, 1, 28001 Madrid España"
Sweet Space Museum,Galerías de arte • Museos especializados • Museos para niños,http://www.sweetspace.com/,Sweet Space Museum,4.5,"Calle De Serrano, 61 ABC Serrano, 28046 Madrid España"
Mementorium,Teatros,http://www.mementorium.com/,Mementorium,5.0,"Calle Embajadores 35, 28012 Madrid España"
Parque Madrid Río,Parques,http://www.madrid.es/portales/munimadrid/es/Inicio/Ayuntamiento/Urbanismo-e-Infraestructuras/Parque-Madrid-Rio?vgnextfmt=default&vgnextoid=4fec1d25e5356310VgnVCM2000000c205a0aRCRD&vgnextchannel=8dba171c30036010VgnVCM100000dc0ca8c0RCRD,Parque Madrid Río,4.5,"Paseo de la Ermita del Santo 14 16, 28011 Madrid España"
Palacio de Cibeles,Interés arquitectonico,http://palaciodecibeles.com/,Palacio de Cibeles,4.5,"Plazade la Cibeles, 1 y Calle de Alcala, 28014 Madrid España"
CaixaForum,Museos especializados,http://caixaforum.es/es/madrid/home,CaixaForum,4.5,"Paseo Prado 36, 28014 Madrid España"
Museo Lázaro Galdiano,Museos de arte,http://www.museolazarogaldiano.es/,Museo Lázaro Galdiano,4.5,"Calle Serrano 122, 28006 Madrid España"
Plaza de Oriente,Puntos emblemáticos y de interés,null,Plaza de Oriente,4.5,"Calle de Bailén, 28013 Madrid España"
Iglesia de San Antonio de Los Alemanes,Iglesias y catedrales,http://www.miradormadrid.com/iglesia-de-san-antonio-de-los-alemanes/,Iglesia de San Antonio de Los Alemanes,4.5,"Corredera Baja de San Pablo Calle de la Puebla, 28004 Madrid España"
Casa Museo Lope de Vega,Museos especializados • Museos de historia,http://www.casamuseolopedevega.org/es/,Casa Museo Lope de Vega,4.5,"C/ Cervantes, 11, 28014 Madrid España"
Ermita De San António De La Florida,Lugares religiosos • Iglesias y catedrales,http://sanantoniodelaflorida.es/,Ermita De San António De La Florida,4.5,"Glorieta de San Antonio de La Florida 4, 28008 Madrid España"
Malasaña,Barrios,tel:%2B34%20910%2017%2077%2004,Malasaña,4.5,"Calle Manuela Malasana 20, 28004 Madrid España"
Fuente de Cibeles,Fuentes,https://www.esmadrid.com/en/tourist-information/fuente-de-la-cibeles,Fuente de Cibeles,4.5,no disponible
Auditorio Nacional de Música,Música sinfónica • Parques nacionales,http://www.auditorionacional.mcu.es/,Auditorio Nacional de Música,4.5,"Calle Principe de Vergara 146, 28002 Madrid España"
Barrio de Las Letras,Barrios,null,Barrio de Las Letras,4.5,"Plaza de las Cortes, 28014 Madrid España"
Zoo Aquarium de Madrid,Zoos • Acuarios,http://www.zoomadrid.com/,Zoo Aquarium de Madrid,4.0,"Casa de Campo, s/n, 28011 Madrid España"
Museo del Romanticismo,Museos especializados,http://www.mecd.gob.es/mromanticismo/inicio.htm,Museo del Romanticismo,4.5,"Calle de San Mateo 13, 28004 Madrid España"
Gay Madrid & the Chueca District,Barrios,http://www.gomadrid.com/gay/,Gay Madrid & the Chueca District,4.0,no disponible
Matadero Madrid,Galerías de arte • Teatros,http://www.mataderomadrid.org/,Matadero Madrid,4.5,"Paseo Chopera 14 Se celebra en Matadero, Paseo de la Chopera 14, Madrid, 28045 Madrid España"
El Rastro,Mercadillos,http://www.madridtourist.info/rastro_market.html,El Rastro,4.0,"Plaza de Cascorro, 28005 Madrid España"
Edificio Metrópolis,Interés arquitectonico,https://www.esmadrid.com/en/tourist-information/edificio-metropolis,Edificio Metrópolis,4.5,"Calle de Alcalá 42, 28014 Madrid España"
Mercado de San Antón,Mercados de agricultores,http://www.mercadosananton.com/,Mercado de San Antón,4.0,"Barrio de Chueca, 28004 Madrid España"
Teatro Lope de Vega,Teatros,https://www.stage.es/musicales/el-rey-leon,Teatro Lope de Vega,4.0,"Calle Gran Vía, 57, 28013 Madrid España"
Plaza de España,Puntos emblemáticos y de interés,null,Plaza de España,4.0,"Western End of the Gran Vía, 28008 Madrid España"
Cava Baja Gallery,Galerías de arte,http://cavabajagallery.com/,Cava Baja Gallery,4.5,"Calle Cava Baja, 27, 28005 Madrid España"
Jardines de Sabatini,Jardines,http://www.esmadrid.com/informacion-turistica/jardines-de-sabatini,Jardines de Sabatini,4.0,"Calle Bailen 2, 28013 Madrid España"
Museo de la Real Academia de Bellas Artes de San Fernando,Museos de arte,http://www.realacademiabellasartessanfernando.com/es,Museo de la Real Academia de Bellas Artes de San Fernando,4.5,"Calle Alcala 13, 28014 Madrid España"
Monasterio de las Descalzas Reales,Museos especializados,http://www.patrimonionacional.es/real-sitio/monasterio-de-las-descalzas-reales,Monasterio de las Descalzas Reales,4.0,"Plaza de las Descalzas, 28013 Madrid España"
Parque del Oeste,Parques,http://www.esmadrid.com/informacion-turistica/parque-del-oeste,Parque del Oeste,4.5,"Paseo Moret 2, 28008 Madrid España"
Estádio Cívitas Metropolitano,Campos y estadios,http://www.atleticodemadrid.com/,Estádio Cívitas Metropolitano,4.5,"Av de Luis Aragones,4, 28022 Madrid España"
Casa de Campo,Lugares históricos • Parques,https://www.esmadrid.com/informacion-turistica/casa-de-campo,Casa de Campo,4.0,"Paseo de la Puerta del Angel 1, 28011 Madrid España"
Puente de Toledo,Puntos emblemáticos y de interés,http://www.esmadrid.com/informacion-turistica/puente-de-toledo,Puente de Toledo,4.5,"Avenida Manzanares s/n, 28019 Madrid España"
Círculo de Bellas Artes,Palacios de congresos,http://www.circulobellasartes.com/,Círculo de Bellas Artes,4.0,"Calle Alcala 42 Entrada a salas y azotea por c/ Marqués de Casa Riera, 2., 28014 Madrid España"
Fundación Mapfre Recoletos,Puntos emblemáticos y de interés,http://www.fundacionmapfre.org/fundacion/es_es/exposiciones/sala-recoletos/,Fundación Mapfre Recoletos,4.5,"Paseo Recoletos 25, 28004 Madrid España"
Monumento a Alfonso XII,Museos de arte,null,Monumento a Alfonso XII,4.5,"Plaza Independencia S/N Parque de Retiro, 28001 Madrid España"
San Jerónimo el Real,Museos de arte,null,San Jerónimo el Real,4.0,"Calle Moreto 4, 28014 Madrid España"
Teatro Real,Museos de arte,null,Teatro Real,4.0,"Plaza de Isabel II, 29013 Madrid España"
Teleférico de Madrid,Tranvías,http://teleferico.emtmadrid.es/,Teleférico de Madrid,3.5,"Paseo del Pintor Rosales s/n, 28008 Madrid España"
Museo del Aire,Museos militares • Museos especializados,http://www.museodelaire.com/,Museo del Aire,4.5,"A-V Km. 10,500 Paseo Extremadura, 28024 Madrid España"
Mercado de La Paz,Mercadillos,http://www.mercadodelapaz.com/,Mercado de La Paz,4.5,"Calle Ayala 28, 28001 Madrid España"
Teatro Lara,Teatros,http://www.astyaro.com/,Teatro Lara,4.0,"Corredera Baja de San Pablo 15, 28004 Madrid España"
Plaza de la Villa,Lugares históricos • Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d246518-Plaza_de_la_Villa-Madrid.html,Plaza de la Villa,4.0,no disponible
Mercado de Antón Martín,Mercadillos,http://www.mercadoantonmartin.com/,Mercado de Antón Martín,4.5,"Calle Santa Isabel 5, 28012 Madrid España"
Primark,Grandes almacenes,https://stores.primark.com/spain/madrid/calle-gran-via-32,Primark,4.0,"Calle Gran Vía 32, 28013 Madrid España"
Biblioteca Nacional de España,Bibliotecas,http://www.bne.es/,Biblioteca Nacional de España,4.5,"Paseo Recoletos 18-20, 28001 Madrid España"
Casa de la Panaderia,Lugares históricos • Interés arquitectonico,tel:%2B34%20915%2088%2020%2072,Casa de la Panaderia,4.5,"Plaza Mayor 27, 28012 Madrid España"
Museo Geominero,Museos especializados,http://www.igme.es/museo/,Museo Geominero,4.5,"Calle de los Rios Rosas 23, 28003 Madrid España"
Anden 0,Museos especializados,https://www.metromadrid.es/es/quienes-somos/anden-cero,Anden 0,4.5,"Plaza Chamberi s/n, 28010 Madrid España"
Parque Juan Carlos I,Parques,http://jmtravel.es/espana/madrid/parques-de-madrid/#Parque_Juan_Carlos_I,Parque Juan Carlos I,4.5,"Avda de Logrono Avda de los Andes, Carretera de Barcelona, 28042 Madrid España"
Safari de Madrid,Parajes naturales,http://www.safarimadrid.com/,Safari de Madrid,4.0,"Aldea del Fresno Ctra M-507 km 22, 28620 Madrid España"
Museo de Historia de Madrid,Museos de historia,http://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cultura-y-ocio/Museo-de-Historia-de-Madrid?vgnextfmt=default&vgnextoid=8f3079262ef5d010VgnVCM1000000b205a0aRCRD&vgnextchannel=c937f073808fe410VgnVCM2000000c205a0aRCRD,Museo de Historia de Madrid,4.0,"Calle Fuencarral 78 Across the street from the Tribunal metro station, 28004 Madrid España"
Colors by Experiencity Escape Room,Juegos de escape,http://experiencitymadrid.com/?utm_source=Tripadvisor,Colors by Experiencity Escape Room,5.0,"Plaza Francisco Morano, 3 Local Derecha, 28005 Madrid España"
Monasterio Del Corpus Christi,Puntos emblemáticos y de interés,http://www.esmadrid.com/informacion-turistica/convento-de-las-carboneras,Monasterio Del Corpus Christi,4.5,no disponible
Teatro Español,Teatros,https://www.teatroespanol.es/,Teatro Español,4.5,"Calle Principe 25, 28014 Madrid España"
Faro de Moncloa,Puntos emblemáticos y de interés,http://faro-de-moncloa.shop.secutix.com/list/otherProducts,Faro de Moncloa,4.0,"Avenida Arco de La victoria 2, 28040 Madrid España"
Palacio Real de El Pardo,Lugares históricos,http://www.patrimonionacional.es/Home/Palacios-Reales/Palacio-Real-de-El-Pardo/Horario.aspx,Palacio Real de El Pardo,4.0,"Calle Manuel Alonso s/n El Pardo, 28048 Madrid España"
Paseo de la Castellana,Barrios • Puntos emblemáticos y de interés • Paseos por zonas históricas,http://auschwitz.net/,Paseo de la Castellana,4.0,no disponible
Parque Lineal Del Manzanares,Parques,http://www.parquelineal.es/introduccion/index.php,Parque Lineal Del Manzanares,4.5,no disponible
Jardines de la Rosaleda,Jardines,tel:%2B34%20915%2029%2082%2010,Jardines de la Rosaleda,4.5,"La Rosaleda Street, S/N Parque Del Oeste, 28008 Madrid España"
Espacio Fundación Telefónica,Museos especializados,http://espacio.fundaciontelefonica.com/,Espacio Fundación Telefónica,4.5,"Camino Fuencarral 3 calle Fuencarral 3, 28035 Madrid España"
La Caja Lista,Teatros,http://lacajalistateatro.com/,La Caja Lista,5.0,"Calle Canillas Nº 29, 28002 Madrid España"
Fuente de Neptuno,Puntos emblemáticos y de interés • Fuentes,null,Fuente de Neptuno,4.0,"Paseo del Prado Plaza de Canovas del Castillo, 28014 Madrid España"
Cerro del Tío Pío,Parques,https://www.esmadrid.com/en/tourist-information/cerro-tio-pio-park,Cerro del Tío Pío,4.5,"Calle de Benjamín Palencia 2, 28038 Madrid España"
Teatro Rialto,Teatros,http://www.teatrevictoria.com/,Teatro Rialto,4.0,"Calle Gran Via 54, 28004 Madrid España"
Calle de Alcalá,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d7824943-Calle_de_Alcala-Madrid.html,Calle de Alcalá,4.5,no disponible
Parque La Quinta de los Molinos,Parques,http://www.esmadrid.com/es/portal.do?IDM=64&NM=3&TR=C&IDR=1481,Parque La Quinta de los Molinos,4.5,no disponible
Banco de España,Interés arquitectonico,null,Banco de España,4.0,"Calle de Alcala, 48, 28014 Madrid España"
Teatro Calderón,Ópera • Teatros,http://teatrocalderon.es/,Teatro Calderón,4.0,"Ronda Atocha 18, 28012 Madrid España"
Museo del Traje,Museos especializados,http://museodeltraje.mcu.es/,Museo del Traje,4.0,"Avenida de Juan de Herrera 2, 28040 Madrid España"
